measure,dimension,group,estimate_pct,se_pct,ci_low,ci_high,n,country
Budget share > 10%,Insurance status,Uninsured,17.257281430696256,0.7878005370995856,15.713192377981066,18.801370483411446,4583,Nigeria
Budget share > 10%,Insurance status,Insured,16.354282960783223,6.549869178546327,3.5165393708324224,29.192026550734024,102,Nigeria
Budget share > 10%,Residence,Urban,16.232621127018703,1.4129381587293768,13.463262335909127,19.00197991812828,1480,Nigeria
Budget share > 10%,Residence,Rural,17.887020904288775,0.9994795631018084,15.92804096060923,19.84600084796832,3205,Nigeria
Budget share > 25%,Overall,All,5.008380906831349,0.4820142453699979,4.063632985906153,5.9531288277565455,4685,Nigeria
Budget share > 25%,Sector,Informal,5.334724092516394,0.5386203116998197,4.279028281584748,6.390419903448041,3876,Nigeria
Budget share > 25%,Sector,Formal,3.6001224101503366,0.8949675495371552,1.8459860130575125,5.35425880724316,809,Nigeria
Budget share > 25%,Consumption quintile,Q4,4.6562387605197975,0.8834605090831806,2.9246561627167638,6.387821358322832,1016,Nigeria
Budget share > 25%,Consumption quintile,Q5 (richest),6.6799503696387745,0.9425982601349611,4.832457779774252,8.527442959503299,1428,Nigeria
Budget share > 25%,Consumption quintile,Q3,2.9619437872214083,0.661953094948457,1.6645157211224326,4.259371853320385,834,Nigeria
Budget share > 25%,Consumption quintile,Q1 (poorest),4.500571174620742,1.0640529028183283,2.4150274850968185,6.586114864144665,700,Nigeria
Budget share > 25%,Consumption quintile,Q2,4.460504066578992,1.3101321906279166,1.8926449729482753,7.028363160209709,707,Nigeria
Budget share > 25%,Insurance status,Uninsured,4.911993267227863,0.45680108670117425,4.016663137293561,5.807323397162165,4583,Nigeria
Budget share > 25%,Insurance status,Insured,9.78917768187154,6.1705030744268745,-2.305008344005134,21.883363707748217,102,Nigeria
Budget share > 25%,Residence,Urban,3.6597905513199214,0.6549294159983353,2.376128895963184,4.943452206676659,1480,Nigeria
Budget share > 25%,Residence,Rural,5.87579743585962,0.6682919054964243,4.565945301086629,7.185649570632611,3205,Nigeria
Budget share > 40%,Overall,All,1.5606091311959693,0.24642976753055795,1.077606786836076,2.043611475555863,4685,Nigeria
Budget share > 40%,Sector,Informal,1.8279332763414429,0.30055533871935625,1.2388448124515044,2.417021740231381,3876,Nigeria
Budget share > 40%,Sector,Formal,0.40703364599363484,0.20717355529954332,0.0009734776065299655,0.8130938143807397,809,Nigeria
Budget share > 40%,Consumption quintile,Q4,0.36312198832072123,0.16377996412282883,0.04211325863997675,0.6841307180014657,1016,Nigeria
Budget share > 40%,Consumption quintile,Q5 (richest),3.203755861944889,0.6492841911911361,1.931158847210262,4.476352876679515,1428,Nigeria
Budget share > 40%,Consumption quintile,Q3,0.5284155937474331,0.27004446388815423,-0.0008715554733492933,1.0577027429682153,834,Nigeria
Budget share > 40%,Consumption quintile,Q1 (poorest),1.1566126849069271,0.4336470647603461,0.3066644379766488,2.0065609318372055,700,Nigeria
Budget share > 40%,Consumption quintile,Q2,1.0817046143003506,0.6054935920144544,-0.10506282604798006,2.268472054648681,707,Nigeria
Budget share > 40%,Insurance status,Uninsured,1.5880466324011109,0.2516475631333042,1.0948174086598346,2.0812758561423874,4583,Nigeria
Budget share > 40%,Insurance status,Insured,0.19971765365469474,0.20261811732335414,-0.1974138562990794,0.5968491636084688,102,Nigeria
Budget share > 40%,Residence,Urban,1.1898288680746112,0.3929516199504341,0.41964369297176035,1.9600140431774622,1480,Nigeria
Budget share > 40%,Residence,Rural,1.7990958796400127,0.3150501012922201,1.1815976811072615,2.416594078172764,3205,Nigeria
Capacity to pay >= 40%,Overall,All,39.511963743438926,1.2001229249002507,37.159722810634435,41.86420467624342,4685,Nigeria
Capacity to pay >= 40%,Sector,Informal,40.7977287580623,1.2950692215071724,38.25939308390824,43.33606443221636,3876,Nigeria
Capacity to pay >= 40%,Sector,Formal,33.96354236985444,2.475677361799816,29.111214740726798,38.81586999898208,809,Nigeria
Capacity to pay >= 40%,Consumption quintile,Q4,38.099567847381024,2.196438597604522,33.79454819607616,42.404587498685885,1016,Nigeria
Capacity to pay >= 40%,Consumption quintile,Q5 (richest),8.299773587717215,0.9204640563586879,6.495664037254187,10.103883138180244,1428,Nigeria
Capacity to pay >= 40%,Consumption quintile,Q3,68.17855917049526,2.5114856587064582,63.2560472794306,73.10107106155992,834,Nigeria
Capacity to pay >= 40%,Consumption quintile,Q1 (poorest),56.59500110794078,2.8520447757024616,51.00499334756395,62.1850088683176,700,Nigeria
Capacity to pay >= 40%,Consumption quintile,Q2,67.61363393845001,2.34146540878508,63.02436173723126,72.20290613966877,707,Nigeria
Capacity to pay >= 40%,Insurance status,Uninsured,39.735811956818935,1.202019417589279,37.379853898343946,42.091770015293925,4583,Nigeria
Capacity to pay >= 40%,Insurance status,Insured,28.409162377744014,8.329200318840051,12.08392975281751,44.73439500267051,102,Nigeria
Capacity to pay >= 40%,Residence,Urban,33.55157973725822,2.0758942057059633,29.482827094074533,37.62033238044191,1480,Nigeria
Capacity to pay >= 40%,Residence,Rural,43.34569693394228,1.6199427094487553,40.17060922342272,46.52078464446184,3205,Nigeria
No capacity to pay (at or below the floor),Overall,All,49.8718607295241,1.3393921502973698,47.24665211494125,52.49706934410694,4685,Nigeria
No capacity to pay (at or below the floor),Sector,Informal,52.5756316568199,1.366502719338768,49.89728632691591,55.253976986723885,3876,Nigeria
No capacity to pay (at or below the floor),Sector,Formal,38.204362989527965,2.583725434982632,33.140261136962,43.26846484209392,809,Nigeria
No capacity to pay (at or below the floor),Consumption quintile,Q4,27.875928083310725,1.9909509427224414,23.97366423557474,31.778191931046713,1016,Nigeria
No capacity to pay (at or below the floor),Consumption quintile,Q5 (richest),0.0,0.0,0.0,0.0,1428,Nigeria
No capacity to pay (at or below the floor),Consumption quintile,Q3,100.0,0.0,100.0,100.0,834,Nigeria
No capacity to pay (at or below the floor),Consumption quintile,Q1 (poorest),100.0,0.0,100.0,100.0,700,Nigeria
No capacity to pay (at or below the floor),Consumption quintile,Q2,100.0,0.0,100.0,100.0,707,Nigeria
No capacity to pay (at or below the floor),Insurance status,Uninsured,50.38391906314376,1.348298980784167,47.741253060806784,53.026585065480724,4583,Nigeria
No capacity to pay (at or below the floor),Insurance status,Insured,24.47392754979309,6.245180318483388,12.23337412556565,36.71448097402053,102,Nigeria
No capacity to pay (at or below the floor),Residence,Urban,38.927524510164616,2.530874689731703,33.967010118290474,43.88803890203875,1480,Nigeria
No capacity to pay (at or below the floor),Residence,Rural,56.91128385539618,1.7589286107822442,53.46378377826297,60.35878393252938,3205,Nigeria
