country,measure,dimension,group,estimate_pct,se_pct,ci_low,ci_high,n
United States,Cost barrier to care,All,All families,15.79452577725801,0.24398039075832229,15.316324211371699,16.272727343144318,61049
United States,Any medical debt (2024),All,All families,14.460827628484408,0.5618084489009374,13.359683068638569,15.561972188330245,7983
United States,Cost barrier to care,Burden (OOP / income),0% to under 10%,15.171680326209906,0.24885951316511407,14.683915680406281,15.659444972013528,56073
United States,Any medical debt (2024),Burden (OOP / income),0% to under 10%,13.415893088230076,0.5521136582294226,12.333750318100408,14.498035858359746,7284
United States,Cost barrier to care,Burden (OOP / income),10% to under 40%,23.283666205785273,0.7566153398596607,21.80070013966034,24.76663227191021,4227
United States,Any medical debt (2024),Burden (OOP / income),10% to under 40%,25.34469309891398,2.2997395779565517,20.837203526119136,29.85218267170882,583
United States,Cost barrier to care,Burden (OOP / income),40% to under 100%,25.35196156201314,2.333718543713689,20.77787321633431,29.926049907691972,559
United States,Any medical debt (2024),Burden (OOP / income),40% to under 100%,27.99696490122507,5.634436405676894,16.953469546098358,39.040460256351786,87
United States,Cost barrier to care,Burden (OOP / income),100% or more,28.047320035865837,4.211486958395316,19.792805597411018,36.30183447432066,190
United States,Any medical debt (2024),Burden (OOP / income),100% or more,55.10953656100217,10.790524559788844,33.96010842381604,76.25896469818831,29
United States,Cost barrier to care,Income relative to poverty,Below 100% of poverty,20.85505985416614,0.6424970768753726,19.595765583490408,22.11435412484187,8323
United States,Any medical debt (2024),Income relative to poverty,Below 100% of poverty,11.981245684446696,1.334586246101642,9.365456642087478,14.597034726805916,1039
United States,Cost barrier to care,Income relative to poverty,100% to under 200%,19.78858665719384,0.5271235382999307,18.755424522125974,20.8217487922617,12092
United States,Any medical debt (2024),Income relative to poverty,100% to under 200%,17.46672234566978,1.28268584228457,14.952658094792023,19.980786596547535,1414
United States,Cost barrier to care,Income relative to poverty,200% to under 400%,18.5102052538788,0.43602173816743245,17.655602647070637,19.36480786068697,17329
United States,Any medical debt (2024),Income relative to poverty,200% to under 400%,18.959834893569422,1.0225477420666802,16.955641319118726,20.964028468020114,2181
United States,Cost barrier to care,Income relative to poverty,400% or more,11.239865980310991,0.3035089639741236,10.644988410921709,11.834743549700272,23305
United States,Any medical debt (2024),Income relative to poverty,400% or more,11.10397857038157,0.6847191455101053,9.761929045181763,12.446028095581376,3349
Nigeria,"Ill, consulted no one",All,All,10.151411349981506,0.7544241546396704,8.672740006887752,11.630082693075261,6345
Nigeria,"Ill, consulted no one because of cost",All,All,1.8614979307147859,0.24777555692334233,1.375857839145035,2.3471380222845366,6345
Nigeria,"Household with an ill member, no OOP",All,All,12.410445346965975,0.8569524802954552,10.730818485586884,14.090072208345067,3301
Nigeria,"Ill, consulted no one","Quintile, consumption net of OOP",Q1 (poorest),11.963691100692376,1.9717975341050136,8.09896793384655,15.828414267538204,987
Nigeria,"Ill, consulted no one because of cost","Quintile, consumption net of OOP",Q1 (poorest),4.343002432697212,1.044364396616509,2.2960482153288546,6.38995665006557,987
Nigeria,"Household with an ill member, no OOP","Quintile, consumption net of OOP",Q1 (poorest),12.10296302264165,2.2311922665399866,7.7298261802232755,16.47609986506002,490
Nigeria,"Ill, consulted no one","Quintile, consumption net of OOP",Q2,9.681967011368522,1.5550854330788921,6.6339995625338934,12.729934460203152,1203
Nigeria,"Ill, consulted no one because of cost","Quintile, consumption net of OOP",Q2,1.4770878598488963,0.4802950058685274,0.5357096483465826,2.41846607135121,1203
Nigeria,"Household with an ill member, no OOP","Quintile, consumption net of OOP",Q2,10.545735174471664,1.7028615661573032,7.20812650480335,13.883343844139977,550
Nigeria,"Ill, consulted no one","Quintile, consumption net of OOP",Q3,11.7520840689671,1.920000711708534,7.988882674018375,15.515285463915825,1228
Nigeria,"Ill, consulted no one because of cost","Quintile, consumption net of OOP",Q3,1.9202971225921988,0.6792929004278973,0.5888830377535202,3.2517112074308776,1228
Nigeria,"Household with an ill member, no OOP","Quintile, consumption net of OOP",Q3,10.692553575352855,1.6328634061689031,7.492141299261807,13.892965851443906,598
Nigeria,"Ill, consulted no one","Quintile, consumption net of OOP",Q4,9.731228777076714,1.591540898782122,6.6118086154637545,12.850648938689673,1370
Nigeria,"Ill, consulted no one because of cost","Quintile, consumption net of OOP",Q4,1.2831856987804877,0.4245354430622815,0.45109623037841595,2.1152751671825594,1370
Nigeria,"Household with an ill member, no OOP","Quintile, consumption net of OOP",Q4,12.671881962364658,1.5629757868961587,9.608449420048187,15.735314504681131,718
Nigeria,"Ill, consulted no one","Quintile, consumption net of OOP",Q5 (richest),8.730280293613873,1.1337044752185426,6.508219522185529,10.952341065042217,1557
Nigeria,"Ill, consulted no one because of cost","Quintile, consumption net of OOP",Q5 (richest),1.280711862610109,0.3026009272433514,0.6876140452131403,1.8738096800070776,1557
Nigeria,"Household with an ill member, no OOP","Quintile, consumption net of OOP",Q5 (richest),14.299003449316444,1.7384339461732605,10.891672914816853,17.706333983816037,945
