country,quantile,unconditional_quantile_pct,term,coef_pp,se_pp,t,n,n_clusters
United States,0.5,1.0570571078834028,(intercept),0.15459202522612459,0.03895589126034314,3.9683863011369045,61447,411
United States,0.5,1.0570571078834028,Below the poverty line,0.09038250208276664,0.04226779035872242,2.1383304240817793,61447,411
United States,0.5,1.0570571078834028,1-2x the poverty line,0.13963498978565045,0.03509070004119282,3.9792591661532413,61447,411
United States,0.5,1.0570571078834028,Uninsured any part of the year,-0.4733281897481358,0.04643969339054859,-10.192319440344704,61447,411
United States,0.5,1.0570571078834028,Any chronic condition,0.7511173745602152,0.03664084169738245,20.4994574296003,61447,411
United States,0.5,1.0570571078834028,Any member aged 60+,0.6688752001004911,0.03067655207132096,21.80411926820851,61447,411
United States,0.5,1.0570571078834028,Any child under 5,-0.061300544337966265,0.056799249863424266,-1.079249188772132,61447,411
United States,0.5,1.0570571078834028,Household size,0.04076475074210294,0.013985496147174769,2.9147875994615955,61447,411
United States,0.75,3.1584045302103227,(intercept),1.2975404954530894,0.08534042651957667,15.204288850787968,61447,411
United States,0.75,3.1584045302103227,Below the poverty line,1.8604797890349585,0.11795338341538174,15.77300909193201,61447,411
United States,0.75,3.1584045302103227,1-2x the poverty line,1.5064188799389415,0.09786941587692066,15.392131100827196,61447,411
United States,0.75,3.1584045302103227,Uninsured any part of the year,-0.7808460170253957,0.10588039904410537,-7.374792917999182,61447,411
United States,0.75,3.1584045302103227,Any chronic condition,1.2148785508171291,0.08087146580947084,15.022338703237095,61447,411
United States,0.75,3.1584045302103227,Any member aged 60+,1.6184197778040934,0.08739922253609117,18.517553484366214,61447,411
United States,0.75,3.1584045302103227,Any child under 5,-0.09368788683820073,0.14328165846632127,-0.6538721553130424,61447,411
United States,0.75,3.1584045302103227,Household size,-0.022688391513318168,0.033481467580303965,-0.6776402933623196,61447,411
United States,0.9,7.874399557086768,(intercept),3.36777826904322,0.25952228342677214,12.976836611386728,61447,411
United States,0.9,7.874399557086768,Below the poverty line,9.606672831074466,0.4509418660687021,21.303572708440573,61447,411
United States,0.9,7.874399557086768,1-2x the poverty line,6.419452694014725,0.3334058942606225,19.254166781456647,61447,411
United States,0.9,7.874399557086768,Uninsured any part of the year,-0.9032870679069507,0.37993945264052786,-2.37745004270872,61447,411
United States,0.9,7.874399557086768,Any chronic condition,2.4212041006527683,0.23929913474006678,10.117897431107497,61447,411
United States,0.9,7.874399557086768,Any member aged 60+,3.9081549074246906,0.2413722267415105,16.191402632292068,61447,411
United States,0.9,7.874399557086768,Any child under 5,0.11703526381104112,0.37995576978607337,0.3080233888195342,61447,411
United States,0.9,7.874399557086768,Household size,-0.3738765259548027,0.08654952125017461,-4.319798891482007,61447,411
United States,0.95,13.5547563545394,(intercept),5.4230631972967185,0.5388151490137857,10.064793477360022,61447,411
United States,0.95,13.5547563545394,Below the poverty line,25.219505158363255,1.2030970842335615,20.96215300399423,61447,411
United States,0.95,13.5547563545394,1-2x the poverty line,12.78418718773141,0.7770048737797355,16.453162160415815,61447,411
United States,0.95,13.5547563545394,Uninsured any part of the year,-0.954290161277694,0.8616937785774527,-1.1074585717133831,61447,411
United States,0.95,13.5547563545394,Any chronic condition,3.841768733888695,0.4655682210710342,8.251784722442506,61447,411
United States,0.95,13.5547563545394,Any member aged 60+,6.54315749617137,0.512069573642143,12.777868151064997,61447,411
United States,0.95,13.5547563545394,Any child under 5,-1.0086993008616818,0.810327807495023,-1.244804005899646,61447,411
United States,0.95,13.5547563545394,Household size,-0.8347355224162967,0.16681909228878153,-5.0038368568226055,61447,411
Nigeria,0.5,1.8821704332980846,(intercept),-0.5526378382537445,0.8551027973890648,-0.6462823416566357,4685,511
Nigeria,0.5,1.8821704332980846,Below the poverty line,0.3057994755577956,0.3870324458473606,0.7901132807826609,4685,511
Nigeria,0.5,1.8821704332980846,1-2x the poverty line,0.24928861716033562,0.35735988725242096,0.6975842170675713,4685,511
Nigeria,0.5,1.8821704332980846,Uninsured any part of the year,0.8637441613615238,0.7554345052810267,1.1433739858628844,4685,511
Nigeria,0.5,1.8821704332980846,Any chronic condition,2.4752275532659196,0.334932620234257,7.390225387824893,4685,511
Nigeria,0.5,1.8821704332980846,Any member aged 60+,0.5257798512189333,0.2583150459523702,2.035420930594496,4685,511
