construction,country,threshold,n_exceedances,xi,sigma,ks
published,us,0.07874399557086768,6746,0.6717647928062929,0.06423827284954055,0.01083047178746499
published,ng,0.16310605528879205,455,0.08787464439092382,0.11428996142129828,0.06196610400670427
net,us,0.07874399557086768,6746,0.6717647928062929,0.06423827284954055,0.01083047178746499
net,ng,0.19489454611949314,455,0.5805482675923557,0.14340802816657494,0.04651194779806357
gross,us,0.07299599890490736,6746,0.3429420132114883,0.06091926208178522,0.021500611158188798
gross,ng,0.16310605528879205,455,0.08787464439092382,0.11428996142129828,0.06196610400670427
levels_household,us,5502.309499093254,5645,0.47246610931580646,3740.026332502834,0.010213045099891405
levels_household,ng,1357.957839276583,423,0.4244405488714775,946.0514530722895,0.05078542625588389
