group,country,n,q50,q75,q90,q95,q99
"US, insured all year",United States,55173,1.1275278893032608,3.2512013855172106,7.946965239252323,13.601939734108534,41.49651593029671
"US, partly uninsured",United States,4282,0.6097104458536762,2.2003374432606306,6.68705909991723,12.936714233351681,51.63375325790416
"US, uninsured all year",United States,1992,0.27771434755099744,1.8749311049133366,7.02749400178198,14.400120461421412,57.62413609145073
"US, poor or near poor",United States,11735,1.0269979248267544,5.34298272728358,18.425314964923707,34.77917772289721,114.84985167438492
"US, chronic condition",United States,48595,1.335047386455951,3.623559766107337,8.762024947305324,15.021428611968119,47.468135879922166
"Nigeria, all",Nigeria,4685,1.8821704332980889,6.714572083554289,16.31060552887921,25.007673992501246,48.19316220468506
"Nigeria, informal",Nigeria,3876,1.8701005056119386,6.877736511092075,16.62160743004155,26.06280866536868,50.60953144885774
"Nigeria, formal",Nigeria,809,1.9043045794702924,5.9222339356741855,13.995861991496868,19.939684193286038,35.73068371317886
"Nigeria, poorest quintile",Nigeria,700,1.5909674772599982,5.784915223296988,13.405835955137373,23.74380272356051,45.409255197835975
