country,basis,group,n,threshold,n_exceedances,var90,var95,var99,cvar90,cvar95,cvar95_lo,cvar95_hi,cvar99,cvar99_lo,cvar99_hi,xi,xi_lo,xi_hi,xi_se,sigma
United States,income,All families,61447,0.07874399557086768,6746,0.07874399557086768,0.135547563545394,0.4213225534486512,0.2653365307095648,0.42899706398241844,0.3816287105998227,0.4751472158683598,1.2574988128867053,1.0314578517916297,1.4686051586560414,0.6717647928062929,0.6145641837960595,0.715353792228194,0.0261669174466335,0.06423827284954055
United States,income,Insured all year,55173,0.07946965239252324,6109,0.07946965239252324,0.13601939734108534,0.4149651593029671,0.2636455370803136,0.42492137097646543,0.3804157630556711,0.48136862623469906,1.2493376684940498,1.0466858226773448,1.5215774806604743,0.6590421786862748,0.6068640063063208,0.7153190386690373,0.027568159673238002,0.06374527744136109
United States,income,Partly uninsured,4282,0.0668705909991723,433,0.0668705909991723,0.12936714233351682,0.5163375325790416,0.28902008830618625,0.4851677160959041,0.3443273661318435,0.666012076363709,1.4531509987534257,0.9064111872435339,2.2564411978175842,0.7370585756244121,0.5674508280925636,0.951194670992947,0.09764183390525125,0.07292457133844085
United States,income,Uninsured all year,1992,0.0702749400178198,215,0.0702749400178198,0.14400120461421412,0.5762413609145073,0.26165455481301864,0.4211998834163536,0.3239676786273461,0.5336998275953593,0.9816744774755719,0.7243540057679507,1.3513018182428433,0.5944550000397171,0.3164013499202168,0.880513762890004,0.1411147970848577,0.09066901746464434
United States,income,Poor or near poor,11735,0.18425314964923706,1112,0.18425314964923706,0.3477917772289721,1.1484985167438493,0.7486748167025129,1.2468557784993695,0.9625394065144081,1.6044992038918506,3.912934681174433,2.6395147999319715,5.5324305900481106,0.7186000850636118,0.5672758144867853,0.851275091309781,0.07361633028521082,0.1762743585540426
United States,income,Chronic condition,48595,0.08762024947305325,5285,0.08762024947305325,0.15021428611968118,0.47468135879922163,0.29970240141998916,0.4859979124475534,0.4284953678254019,0.5591652128445674,1.4468301758126711,1.1837603722578451,1.7855906971287911,0.6729411627085109,0.6138555955361933,0.7350174098788391,0.030892697047188344,0.0717255166404775
United States,income,Elderly member,22606,0.11789142139665747,2353,0.11789142139665747,0.19615998538748375,0.5926994937688483,0.3455345636172667,0.541790961181258,0.4926855792063963,0.5973882038153506,1.4672604496526558,1.2468405451205158,1.714597943400892,0.637251697841567,0.55604528969999,0.7131186406395023,0.040764006122440466,0.0894119038958465
Nigeria,consumption net of OOP,All households,4685,0.1948945461194931,455,0.1948945461194931,0.3334698642319997,0.9302511039375927,0.5033387129794381,0.7620280789075657,0.6131274968100423,0.9393145175732479,1.831075130551052,1.2577323355450107,2.43032563591766,0.5805482675923557,0.363607353932757,0.7382210302755557,0.09417716548119046,0.14340802816657494
Nigeria,consumption net of OOP,Informal sector,3876,0.19935149803672458,378,0.19935149803672458,0.3525007454040153,1.0246950276334497,0.5465853527805418,0.8375058500605633,0.6631999373005093,1.0426922035710138,1.993233213351579,1.3770149819056972,2.771217380812426,0.5684311187530409,0.35005018131745624,0.7627898527266402,0.10990835941260413,0.16452283266991258
Nigeria,consumption net of OOP,Formal sector,809,0.1627348155900644,88,0.1627348155900644,0.24905841442257684,0.5569058718657592,0.3178838790213443,0.42948287301771887,0.3347720657959885,0.5238626043788677,0.7496798774563991,0.5135652740814104,0.9423921009749572,0.11921251732391556,-0.09633292180481384,0.6100624161117408,0.1816269584088374,0.1368940273027265
