basis,quantile,coef_pp,se_pp,t
"United States, income",0.5,0.09038250208276664,0.04226779035872242,2.1383304240817793
"United States, income",0.75,1.8604797890349585,0.11795338341538174,15.77300909193201
"United States, income",0.9,9.606672831074466,0.4509418660687021,21.303572708440573
"United States, income",0.95,25.219505158363255,1.2030970842335615,20.96215300399423
"Nigeria, consumption net of OOP",0.5,0.3057994755577956,0.3870324458473606,0.7901132807826609
"Nigeria, consumption net of OOP",0.75,2.9141093547285655,0.8598193917450397,3.389211016530178
"Nigeria, consumption net of OOP",0.9,7.68127919389298,1.7068343977646778,4.500307237745276
"Nigeria, consumption net of OOP",0.95,10.68059770025109,2.9439379680166917,3.6279968587267906
"Nigeria, gross consumption",0.5,-0.7811110186957917,0.3737343459246414,-2.090016684881545
"Nigeria, gross consumption",0.75,-0.9657209971252255,0.88485591742364,-1.0913878498287422
"Nigeria, gross consumption",0.9,-3.5247823249052996,1.7095705420114755,-2.0617940227011937
"Nigeria, gross consumption",0.95,-8.168268840901199,3.1091297103747464,-2.627188185055383
