country,mean_oop_household,mean_oop_per_person,mean_resources_per_person,oop_hh_q50,oop_pc_q50,oop_hh_q75,oop_pc_q75,oop_hh_q90,oop_pc_q90,oop_hh_q95,oop_pc_q95,oop_hh_q99,oop_pc_q99
United States,2303.04917826054,1193.6593292865696,48308.99375425374,803.7723555123847,411.1743488801211,2489.7709568378996,1235.8520543953375,5502.309499093254,2701.5091209045136,8580.638702453176,4332.563766565158,21288.68680586802,11449.382567237257
Nigeria,499.3090521813518,141.57063192802937,2278.8495756191664,133.0600893689206,23.7607302444501,512.6446375133895,118.61820548069906,1357.957839276583,317.89522815424385,2090.944261511609,555.0706867767817,5047.2896256815,1794.68123190788
